Time	LIT0_freq	LIT1_freq	LIT2_freq	LIT3_freq	MID4_freq	MID5_freq	BIG6_freq	BIG7_freq	LIT0_util	LIT1_util	LIT2_util	LIT3_util	MID4_util	MID5_util	BIG6_util	BIG7_util	MIF_Freq	GPU_Freq	GPU_Load	BIG	MID	LITTLE	LIT_state	MID_state	BIG_state	GPU_state	TPU_state	batt_volt	batt_curr	LIT0_governer	LIT1_governer	LIT2_governer	LIT3_governer	MID4_governer	MID5_governer	BIG6_governer	BIG7_governer	LIT0_fw_freq	MID4_fw_freq	BIG6_fw_freq	EOL
72	1803000	1803000	1803000	1803000	696000	696000	500000	500000	100	0	0	0	0	0	0	0	546000	202	0	39000	41000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	696000	500000	EOL
73	1803000	1803000	1803000	1803000	696000	696000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	39000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	696000	500000	EOL
74	1803000	1803000	1803000	1803000	696000	696000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	39000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	696000	500000	EOL
75	1803000	1803000	1803000	1803000	696000	696000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	39000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	696000	500000	EOL
76	1803000	1803000	1803000	1803000	696000	696000	500000	500000	100	0	0	0	0	0	0	0	546000	202	0	39000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	696000	500000	EOL
77	1803000	1803000	1803000	1803000	696000	696000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	39000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	696000	500000	EOL
78	1803000	1803000	1803000	1803000	696000	696000	500000	500000	0	0	0	0	100	0	0	0	546000	202	0	39000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	696000	500000	EOL
79	1803000	1803000	1803000	1803000	696000	696000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	39000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	696000	500000	EOL
80	1803000	1803000	1803000	1803000	696000	696000	500000	500000	100	0	0	0	0	0	0	0	421000	202	0	39000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	696000	500000	EOL
81	1803000	1803000	1803000	1803000	696000	696000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	696000	500000	EOL
82	1803000	1803000	1803000	1803000	696000	696000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	42000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	696000	500000	EOL
83	1803000	1803000	1803000	1803000	696000	696000	500000	500000	100	0	0	0	0	0	0	0	421000	202	0	39000	41000	41000	0	0	0	0	0	4323750	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	696000	500000	EOL
