Time	LIT0_freq	LIT1_freq	LIT2_freq	LIT3_freq	MID4_freq	MID5_freq	BIG6_freq	BIG7_freq	LIT0_util	LIT1_util	LIT2_util	LIT3_util	MID4_util	MID5_util	BIG6_util	BIG7_util	MIF_Freq	GPU_Freq	GPU_Load	BIG	MID	LITTLE	LIT_state	MID_state	BIG_state	GPU_state	TPU_state	batt_volt	batt_curr	LIT0_governer	LIT1_governer	LIT2_governer	LIT3_governer	MID4_governer	MID5_governer	BIG6_governer	BIG7_governer	EOL
940	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4266250	748750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
950	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4266250	748750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
960	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4266250	748750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
970	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4266250	748750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
980	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4266250	748750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
990	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	33	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4266250	748750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
1000	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	38000	0	0	0	0	0	4266250	748750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
1010	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4266250	748750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
1020	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4266250	748750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
1030	300000	300000	300000	300000	400000	400000	500000	500000	0	50	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4266250	748750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
1040	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4266250	748750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
1050	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4266250	748750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
1060	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4266250	748750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
1070	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4266250	748750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
1080	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	50	33	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4266250	748750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
1090	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4266250	748750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
